person_age;person_income;person_emp_length;loan_amnt;loan_int_rate;loan_percent_income;cb_person_cred_hist_length;dti_ratio;taxa_juros_alta;loan_grade_num;cb_default_flag;home_MORTGAGE;home_OTHER;home_OWN;home_RENT;intent_DEBTCONSOLIDATION;intent_EDUCATION;intent_HOMEIMPROVEMENT;intent_MEDICAL;intent_PERSONAL;intent_VENTURE;loan_status_real;loan_status_pred;probabilidade_default;risco_categoria;loan_intent;person_home_ownership
30;67000;6,0;10000;6,99;0,15;6;0,1492537313432835;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0,0323240002080288;Muito Baixo;HOMEIMPROVEMENT;MORTGAGE
29;32000;5,0;9000;16,77;0,28;5;0,28125;1;4;0;0;0;0;1;0;0;0;0;1;0;0;0;0,4020640294535437;Moderado;PERSONAL;RENT
23;92004;2,0;8000;11,49;0,09;4;0,0869527411851658;1;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0,0227848135279799;Muito Baixo;DEBTCONSOLIDATION;RENT
24;13200;6,0;4000;15,65;0,3;3;0,303030303030303;1;4;1;0;0;0;1;0;0;0;0;0;1;1;1;0,9429439274693044;Muito Alto;VENTURE;RENT
31;116400;3,0;8900;10,0;0,08;5;0,0764604810996563;0;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0,0027078603681565;Muito Baixo;VENTURE;RENT
25;64800;1,0;7000;12,73;0,11;2;0,1080246913580246;1;3;0;0;0;0;1;0;0;0;0;1;0;0;0;0,0778442408229621;Muito Baixo;PERSONAL;RENT
55;75000;3,0;10000;7,51;0,13;20;0,1333333333333333;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0,0191694146276334;Muito Baixo;PERSONAL;MORTGAGE
27;231252;1,0;2000;9,91;0,01;10;0,0086485738501721;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0,010013213965272;Muito Baixo;PERSONAL;MORTGAGE
24;74900;8,0;3500;6,39;0,05;3;0,0467289719626168;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0,0338735354715666;Muito Baixo;HOMEIMPROVEMENT;MORTGAGE
23;50000;0,0;2800;10,59;0,06;2;0,056;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0;7,513454312613295e-06;Muito Baixo;VENTURE;OWN
29;92000;5,0;7000;9,32;0,08;10;0,0760869565217391;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0,0009775387235364;Muito Baixo;VENTURE;RENT
33;30000;14,0;7500;11,86;0,25;8;0,25;1;2;0;0;0;0;1;0;0;0;1;0;0;1;0;0,1362042672585276;Muito Baixo;MEDICAL;RENT
38;110000;5,0;16000;11,99;0,15;17;0,1454545454545454;1;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0,0314036747993129;Muito Baixo;PERSONAL;MORTGAGE
