person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,dti_ratio,taxa_juros_alta,loan_grade_num,cb_default_flag,home_MORTGAGE,home_OTHER,home_OWN,home_RENT,intent_DEBTCONSOLIDATION,intent_EDUCATION,intent_HOMEIMPROVEMENT,intent_MEDICAL,intent_PERSONAL,intent_VENTURE,loan_status_real,loan_status_pred,probabilidade_default,risco_categoria
30,67000,6.0,10000,6.99,0.15,6,0.1492537313432835,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.03232400020802883,Muito Baixo
29,32000,5.0,9000,16.77,0.28,5,0.28125,1,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0.4020640294535437,Moderado
23,92004,2.0,8000,11.49,0.09,4,0.0869527411851658,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0.022784813527979918,Muito Baixo
24,13200,6.0,4000,15.65,0.3,3,0.303030303030303,1,4,1,0,0,0,1,0,0,0,0,0,1,1,1,0.9429439274693044,Muito Alto
31,116400,3.0,8900,10.0,0.08,5,0.0764604810996563,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0.002707860368156512,Muito Baixo
25,64800,1.0,7000,12.73,0.11,2,0.1080246913580246,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0.07784424082296217,Muito Baixo
55,75000,3.0,10000,7.51,0.13,20,0.1333333333333333,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.019169414627633444,Muito Baixo
27,231252,1.0,2000,9.91,0.01,10,0.0086485738501721,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0.010013213965272013,Muito Baixo
24,74900,8.0,3500,6.39,0.05,3,0.0467289719626168,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.03387353547156669,Muito Baixo
23,50000,0.0,2800,10.59,0.06,2,0.056,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,7.513454312613295e-06,Muito Baixo
29,92000,5.0,7000,9.32,0.08,10,0.0760869565217391,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0009775387235364341,Muito Baixo
33,30000,14.0,7500,11.86,0.25,8,0.25,1,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0.1362042672585276,Muito Baixo
38,110000,5.0,16000,11.99,0.15,17,0.1454545454545454,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0.031403674799312956,Muito Baixo
46,57359,3.0,9000,6.92,0.16,14,0.1569065011593647,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.016464561502700287,Muito Baixo
23,30000,0.0,4800,10.99,0.16,4,0.16,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0.11444374298287306,Muito Baixo
29,72072,4.0,12000,8.49,0.17,8,0.1665001665001665,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.09005080704263518,Muito Baixo
28,56004,12.0,5525,12.68,0.1,9,0.0986536675951717,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0.2213553098064622,Baixo
24,36000,3.0,8000,13.61,0.22,2,0.2222222222222222,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0.193466413124243,Muito Baixo
30,30000,6.0,2800,12.68,0.09,7,0.0933333333333333,1,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0.125138372611253,Muito Baixo
25,45000,5.0,10400,10.25,0.23,3,0.2311111111111111,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1.3116177625053515e-05,Muito Baixo
27,90000,11.0,16000,8.88,0.18,9,0.1777777777777777,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0.04238751594492358,Muito Baixo
22,48996,5.0,5000,7.9,0.1,4,0.1020491468691321,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.18165029179443032,Muito Baixo
25,118000,9.0,2000,7.12,0.02,2,0.0169491525423728,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.004003502607223381,Muito Baixo
25,30000,1.0,5000,13.48,0.17,3,0.1666666666666666,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0014978983948632613,Muito Baixo
44,140000,14.0,21500,11.83,0.15,14,0.1535714285714285,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1.9913552813276967e-05,Muito Baixo
23,96000,5.0,1500,6.62,0.02,3,0.015625,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.005285397387274128,Muito Baixo
23,65000,7.0,7425,6.03,0.11,4,0.1142307692307692,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.018783230817544776,Muito Baixo
38,100000,2.0,16000,7.49,0.16,11,0.16,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.00930255518224478,Muito Baixo
