coluna,tipo,nulos,unicos,min,max
person_age,int64,0,56,20.0,94.0
person_income,int64,0,4294,4000.0,2039784.0
person_emp_length,float64,0,35,0.0,41.0
loan_amnt,int64,0,753,500.0,35000.0
loan_int_rate,float64,0,349,5.42,23.22
loan_status,int64,0,2,0.0,1.0
loan_percent_income,float64,0,77,0.0,0.83
cb_person_cred_hist_length,int64,0,29,2.0,30.0
dti_ratio,float64,0,9910,0.0007894736842105263,0.83
taxa_juros_alta,int64,0,2,0.0,1.0
loan_grade_num,int64,0,7,1.0,7.0
cb_default_flag,int64,0,2,0.0,1.0
home_MORTGAGE,int64,0,2,0.0,1.0
home_OTHER,int64,0,2,0.0,1.0
home_OWN,int64,0,2,0.0,1.0
home_RENT,int64,0,2,0.0,1.0
intent_DEBTCONSOLIDATION,int64,0,2,0.0,1.0
intent_EDUCATION,int64,0,2,0.0,1.0
intent_HOMEIMPROVEMENT,int64,0,2,0.0,1.0
intent_MEDICAL,int64,0,2,0.0,1.0
intent_PERSONAL,int64,0,2,0.0,1.0
intent_VENTURE,int64,0,2,0.0,1.0
